name,display_name,supertype,image,bottom_level,MWh/GFA_stage_0,kWh/GFA_stage_1,kWh/GFA_stage_2,kWh/GFA_stage_3,kWh/GFA_stage_4,GFA,TFA
B-DT,Bungalow (detached),Bungalow,detached bungalow,yes,85.1,77.2,72.5,42.2,13.5,170,153
B-SD,Bungalow (semidetached),Bungalow,semidetachedbungalow,yes,80.6,76.0,70.5,41.1,17.1,89,76
DT-L,Detached (interwar),Detached,detached,yes,79.5,65.4,61.6,33.2,11.6,341,285
DT-R,Detached (other),Detached,detached,yes,80.4,77.6,73.0,25.1,7.1,139,121
DT-V,Detached (pre 1919),Detached,detached,yes,89.2,80.6,77.1,32.4,13.6,370,300
SD-R,Semidetached (other),Semidetached,semidetached,yes,86.2,84.0,78.7,32.4,12.6,83,70
SD-S,Semidetached (interwar),Semidetached,semidetached,yes,82.3,77.2,72.4,32.0,12.2,115,96
SD-V,Semidetached (Victorian),Semidetached,semidetached,yes,109.6,100.2,96.1,39.7,19.3,225,194
T-GE,End terrace (Georgian),Terraced,endterrace,yes,87.5,85.2,80.4,25.4,9.3,287,349
T-GM,Mid terrace (Georgian),Terraced,midterrace,yes,81.3,78.4,72.6,27.2,11.0,287,349
T-RE,End terrace (other),Terraced,endterrace,yes,102.1,94.3,86.8,33.9,10.3,82,97
T-RM,Mid terrace (other),Terraced,midterrace,yes,64.0,55.5,48.8,21.9,8.0,82,97
T-VE,End terrace (Victorian),Terraced,endterrace,yes,162.9,155.4,149.0,45.6,18.7,95,113
T-VM,Mid terrace (Victorian),Terraced,midterrace,yes,157.6,147.5,140.1,53.9,25.4,95,113
"Arts, Community and Leisure","Arts, Community and Leisure",Non-residential,leisure centre,yes,115.29,,,,,,
Education,Education,Non-residential,school,yes,160.83,,,,,,
Emergency Services,Emergency Services,Non-residential,officeblock,yes,168.73,,,,,,
Factories,Factories,Non-residential,warehouse,yes,69.95,,,,,,
Health,Health,Non-residential,hospital,yes,165.37,,,,,,
Hospitality,Hospitality,Non-residential,hotel,yes,291.84,,,,,,
Offices,Offices,Non-residential,officeblock,yes,150.9,,,,,,
Shops,Shops,Non-residential,shop,yes,194.11,,,,,,
Warehouses,Warehouses,Non-residential,warehouse,yes,53.08,,,,,,
Other,Other,Non-residential,officeblock,yes,98.94,,,,,,
Care homes,Care homes,Non-residential,carehome,yes,430,,,,,,
University buildings,University buildings,Non-residential,school,yes,215,,,,,,
General accommodation,General accommodation,Residential,apartmentblock,yes,300,,,,,,
Swimming pool,Swimming pool,Non-residential,leisure centre,yes,1130,,,,,,
Dry leisure centre,Dry leisure centre,Non-residential,leisure centre,yes,330,,,,,,
Place of worship,Place of worship,Non-residential,church,yes,96.94,,,,,,
Derelict,Derelict,Non-residential,derelict,yes,0,,,,,,
Bungalow,Bungalow,Residential,semidetachedbungalow,,,,,,,,
Detached,Detached,Residential,detached,,,,,,,,
Semidetached,Semidetached,Residential,semidetached,,,,,,,,
Terraced,Terraced,Residential,midterrace,,,,,,,,
Residential,Residential,Top,midterrace,,,,,,,,
Non-residential,Non-residential,Top,officeblock,,,,,,,,
Top,Top,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
